date,n_sku,demand
2016-01-01,1,5446.0
2016-01-01,2,38329.0
2016-01-01,3,17053.0
2016-01-01,4,2234.0
2016-01-01,5,963.0
2016-01-02,1,6927.0
2016-01-02,2,46444.0
2016-01-02,3,23402.0
2016-01-02,4,3786.0
2016-01-02,5,1395.0
2016-01-03,1,6630.0
2016-01-03,2,45047.0
2016-01-03,3,22435.0
2016-01-03,4,3998.0
2016-01-03,5,1103.0
2016-01-04,1,9835.0
2016-01-04,2,72476.0
2016-01-04,3,40727.0
2016-01-04,4,9111.0
2016-01-04,5,1852.0
2016-01-05,1,9091.0
2016-01-05,2,69109.0
2016-01-05,3,40731.0
2016-01-05,4,8910.0
2016-01-05,5,2185.0
2016-01-06,1,9013.0
2016-01-06,2,71048.0
2016-01-06,3,41983.0
2016-01-06,4,9161.0
2016-01-06,5,2318.0
2016-01-07,1,9192.0
2016-01-07,2,72992.0
2016-01-07,3,43296.0
2016-01-07,4,9579.0
2016-01-07,5,2362.0
2016-01-08,1,9500.0
2016-01-08,2,76123.0
2016-01-08,3,43282.0
2016-01-08,4,9563.0
2016-01-08,5,2685.0
2016-01-09,1,7533.0
2016-01-09,2,56706.0
2016-01-09,3,27294.0
2016-01-09,4,4763.0
2016-01-09,5,2089.0
2016-01-10,1,6216.0
2016-01-10,2,45978.0
2016-01-10,3,23151.0
2016-01-10,4,3927.0
2016-01-10,5,1263.0
2016-01-11,1,9186.0
2016-01-11,2,70525.0
2016-01-11,3,41818.0
2016-01-11,4,9363.0
2016-01-11,5,2068.0
2016-01-12,1,8983.0
2016-01-12,2,70828.0
2016-01-12,3,42145.0
2016-01-12,4,9223.0
2016-01-12,5,2303.0
2016-01-13,1,9125.0
2016-01-13,2,71932.0
2016-01-13,3,43678.0
2016-01-13,4,9223.0
2016-01-13,5,2433.0
2016-01-14,1,9440.0
2016-01-14,2,74857.0
2016-01-14,3,45057.0
2016-01-14,4,9396.0
2016-01-14,5,2501.0
2016-01-15,1,9763.0
2016-01-15,2,78809.0
2016-01-15,3,45875.0
2016-01-15,4,9820.0
2016-01-15,5,2735.0
2016-01-16,1,7578.0
2016-01-16,2,58569.0
2016-01-16,3,29656.0
2016-01-16,4,5252.0
2016-01-16,5,2197.0
2016-01-17,1,6054.0
2016-01-17,2,45947.0
2016-01-17,3,23905.0
2016-01-17,4,4046.0
2016-01-17,5,1434.0
2016-01-18,1,9207.0
2016-01-18,2,70351.0
2016-01-18,3,41826.0
2016-01-18,4,9586.0
2016-01-18,5,2106.0
2016-01-19,1,9086.0
2016-01-19,2,69143.0
2016-01-19,3,41842.0
2016-01-19,4,9080.0
2016-01-19,5,2318.0
2016-01-20,1,8901.0
2016-01-20,2,69530.0
2016-01-20,3,41956.0
2016-01-20,4,8989.0
2016-01-20,5,2344.0
2016-01-21,1,9321.0
2016-01-21,2,70890.0
2016-01-21,3,42916.0
2016-01-21,4,9327.0
2016-01-21,5,2424.0
2016-01-22,1,9506.0
2016-01-22,2,74116.0
2016-01-22,3,43087.0
2016-01-22,4,9406.0
2016-01-22,5,2624.0
2016-01-23,1,6999.0
2016-01-23,2,54786.0
2016-01-23,3,26377.0
2016-01-23,4,4627.0
2016-01-23,5,2070.0
2016-01-24,1,6178.0
2016-01-24,2,46250.0
2016-01-24,3,23738.0
2016-01-24,4,3821.0
2016-01-24,5,1392.0
2016-01-25,1,9581.0
2016-01-25,2,71104.0
2016-01-25,3,42024.0
2016-01-25,4,9131.0
2016-01-25,5,2022.0
2016-01-26,1,9073.0
2016-01-26,2,68633.0
2016-01-26,3,41322.0
2016-01-26,4,9053.0
2016-01-26,5,2275.0
2016-01-27,1,9051.0
2016-01-27,2,69528.0
2016-01-27,3,41855.0
2016-01-27,4,8976.0
2016-01-27,5,2277.0
2016-01-28,1,9185.0
2016-01-28,2,70586.0
2016-01-28,3,42960.0
2016-01-28,4,9179.0
2016-01-28,5,2526.0
2016-01-29,1,9333.0
2016-01-29,2,74661.0
2016-01-29,3,42885.0
2016-01-29,4,9565.0
2016-01-29,5,2431.0
2016-01-30,1,7791.0
2016-01-30,2,58076.0
2016-01-30,3,29204.0
2016-01-30,4,5018.0
2016-01-30,5,2260.0
2016-01-31,1,6085.0
2016-01-31,2,47598.0
2016-01-31,3,25380.0
2016-01-31,4,4309.0
2016-01-31,5,1649.0
2016-02-01,1,9035.0
2016-02-01,2,69762.0
2016-02-01,3,42896.0
2016-02-01,4,9027.0
2016-02-01,5,2229.0
2016-02-02,1,8818.0
2016-02-02,2,69172.0
2016-02-02,3,42942.0
2016-02-02,4,8772.0
2016-02-02,5,2420.0
2016-02-03,1,8858.0
2016-02-03,2,70272.0
2016-02-03,3,44658.0
2016-02-03,4,8892.0
2016-02-03,5,2649.0
2016-02-04,1,9134.0
2016-02-04,2,72493.0
2016-02-04,3,45825.0
2016-02-04,4,8880.0
2016-02-04,5,2507.0
2016-02-05,1,9176.0
