n_sku,ds,y
1,2016-01-01,8709.6
2,2016-01-01,68407.6
3,2016-01-01,38436.4
4,2016-01-01,8117.6
5,2016-01-01,963.0
1,2016-01-02,6927.0
2,2016-01-02,46444.0
3,2016-01-02,23402.0
4,2016-01-02,3786.0
5,2016-01-02,1395.0
1,2016-01-03,6630.0
2,2016-01-03,45047.0
3,2016-01-03,22435.0
4,2016-01-03,3998.0
5,2016-01-03,1103.0
1,2016-01-04,9835.0
2,2016-01-04,72476.0
3,2016-01-04,40727.0
4,2016-01-04,9111.0
5,2016-01-04,1852.0
1,2016-01-05,9091.0
2,2016-01-05,69109.0
3,2016-01-05,40731.0
4,2016-01-05,8910.0
5,2016-01-05,2185.0
1,2016-01-06,9013.0
2,2016-01-06,71048.0
3,2016-01-06,41983.0
4,2016-01-06,9161.0
5,2016-01-06,2318.0
1,2016-01-07,9192.0
2,2016-01-07,72992.0
3,2016-01-07,43296.0
4,2016-01-07,9579.0
5,2016-01-07,2362.0
1,2016-01-08,9500.0
2,2016-01-08,76123.0
3,2016-01-08,43282.0
4,2016-01-08,9563.0
5,2016-01-08,2685.0
1,2016-01-09,7533.0
2,2016-01-09,56706.0
3,2016-01-09,27294.0
4,2016-01-09,4763.0
5,2016-01-09,2089.0
1,2016-01-10,6216.0
2,2016-01-10,45978.0
3,2016-01-10,23151.0
4,2016-01-10,3927.0
5,2016-01-10,1263.0
1,2016-01-11,9186.0
2,2016-01-11,70525.0
3,2016-01-11,41818.0
4,2016-01-11,9363.0
5,2016-01-11,2068.0
1,2016-01-12,8983.0
2,2016-01-12,70828.0
3,2016-01-12,42145.0
4,2016-01-12,9223.0
5,2016-01-12,2303.0
1,2016-01-13,9125.0
2,2016-01-13,71932.0
3,2016-01-13,43678.0
4,2016-01-13,9223.0
5,2016-01-13,2433.0
1,2016-01-14,9440.0
2,2016-01-14,74857.0
3,2016-01-14,45057.0
4,2016-01-14,9396.0
5,2016-01-14,2501.0
1,2016-01-15,9763.0
2,2016-01-15,78809.0
3,2016-01-15,45875.0
4,2016-01-15,9820.0
5,2016-01-15,2735.0
1,2016-01-16,7578.0
2,2016-01-16,58569.0
3,2016-01-16,29656.0
4,2016-01-16,5252.0
5,2016-01-16,2197.0
1,2016-01-17,6054.0
2,2016-01-17,45947.0
3,2016-01-17,23905.0
4,2016-01-17,4046.0
5,2016-01-17,1434.0
1,2016-01-18,9207.0
2,2016-01-18,70351.0
3,2016-01-18,41826.0
4,2016-01-18,9586.0
5,2016-01-18,2106.0
1,2016-01-19,9086.0
2,2016-01-19,69143.0
3,2016-01-19,41842.0
4,2016-01-19,9080.0
5,2016-01-19,2318.0
1,2016-01-20,8901.0
2,2016-01-20,69530.0
3,2016-01-20,41956.0
4,2016-01-20,8989.0
5,2016-01-20,2344.0
1,2016-01-21,9321.0
2,2016-01-21,70890.0
3,2016-01-21,42916.0
4,2016-01-21,9327.0
5,2016-01-21,2424.0
1,2016-01-22,9506.0
2,2016-01-22,74116.0
3,2016-01-22,43087.0
4,2016-01-22,9406.0
5,2016-01-22,2624.0
1,2016-01-23,6999.0
2,2016-01-23,54786.0
3,2016-01-23,26377.0
4,2016-01-23,4627.0
5,2016-01-23,2070.0
1,2016-01-24,6178.0
2,2016-01-24,46250.0
3,2016-01-24,23738.0
4,2016-01-24,3821.0
5,2016-01-24,1392.0
1,2016-01-25,9581.0
2,2016-01-25,71104.0
3,2016-01-25,42024.0
4,2016-01-25,9131.0
5,2016-01-25,2022.0
1,2016-01-26,9073.0
2,2016-01-26,68633.0
3,2016-01-26,41322.0
4,2016-01-26,9053.0
5,2016-01-26,2275.0
1,2016-01-27,9051.0
2,2016-01-27,69528.0
3,2016-01-27,41855.0
4,2016-01-27,8976.0
5,2016-01-27,2277.0
1,2016-01-28,9185.0
2,2016-01-28,70586.0
3,2016-01-28,42960.0
4,2016-01-28,9179.0
5,2016-01-28,2526.0
1,2016-01-29,9333.0
2,2016-01-29,74661.0
3,2016-01-29,42885.0
4,2016-01-29,9565.0
5,2016-01-29,2431.0
1,2016-01-30,7791.0
2,2016-01-30,58076.0
3,2016-01-30,29204.0
4,2016-01-30,5018.0
5,2016-01-30,2260.0
1,2016-01-31,6085.0
2,2016-01-31,47598.0
3,2016-01-31,25380.0
4,2016-01-31,4309.0
5,2016-01-31,1649.0
1,2016-02-01,9035.0
2,2016-02-01,69762.0
3,2016-02-01,42896.0
4,2016-02-01,9027.0
5,2016-02-01,2229.0
1,2016-02-02,8818.0
2,2016-02-02,69172.0
3,2016-02-02,42942.0
4,2016-02-02,8772.0
5,2016-02-02,2420.0
1,2016-02-03,8858.0
2,2016-02-03,70272.0
3,2016-02-03,44658.0
4,2016-02-03,8892.0
5,2016-02-03,2649.0
1,2016-02-04,9134.0
2,2016-02-04,72493.0
3,2016-02-04,45825.0
4,2016-02-04,8880.0
5,2016-02-04,2507.0
1,2016-02-05,9176.0
2,2016-02-05,76276.0
