date,n_sku,demand
2016-01-01,1,5282.62
2016-01-01,2,37179.13
2016-01-01,3,21529.84
2016-01-01,4,2211.66
2016-01-01,5,885.96
2016-01-02,1,6580.65
2016-01-02,2,37179.13
2016-01-02,3,23332.4
2016-01-02,4,3748.14
2016-01-02,5,943.74
2016-01-03,1,6431.1
2016-01-03,2,46908.44
2016-01-03,3,40319.73
2016-01-03,4,3638.18
2016-01-03,5,1339.2
2016-01-04,1,9146.55
2016-01-04,2,45497.47
2016-01-04,3,41952.93
2016-01-04,4,8655.45
2016-01-04,5,1058.88
2016-01-05,1,9636.46
2016-01-05,2,68852.2
2016-01-05,3,44921.81
2016-01-05,4,9177.3
2016-01-05,5,1722.36
2016-01-06,1,8922.87
2016-01-06,2,70491.18
2016-01-06,3,45027.84
2016-01-06,4,8519.73
2016-01-06,5,2272.4
2016-01-07,1,9100.08
2016-01-07,2,73889.92
2016-01-07,3,45446.1
2016-01-07,4,9483.21
2016-01-07,5,2526.62
2016-01-08,1,9025.0
2016-01-08,2,68612.48
2016-01-08,3,28658.7
2016-01-08,4,8702.33
2016-01-08,5,2527.34
2016-01-09,1,6930.36
2016-01-09,2,73839.31
2016-01-09,3,22456.47
2016-01-09,4,4667.74
2016-01-09,5,2604.45
2016-01-10,1,6340.32
2016-01-10,2,58407.18
2016-01-10,3,44745.26
2016-01-10,4,4201.89
2016-01-10,5,2109.89
2016-01-11,1,9461.58
2016-01-11,2,45518.22
2016-01-11,3,40459.2
2016-01-11,4,9175.74
2016-01-11,5,1288.26
2016-01-12,1,9342.32
2016-01-12,2,72640.75
2016-01-12,3,42804.44
2016-01-12,4,9776.38
2016-01-12,5,2047.32
2016-01-13,1,8851.25
2016-01-13,2,76494.24
2016-01-13,3,46859.28
2016-01-13,4,8854.08
2016-01-13,5,2233.91
2016-01-14,1,10100.8
2016-01-14,2,71212.68
2016-01-14,3,44957.5
2016-01-14,4,8832.24
2016-01-14,5,2408.67
2016-01-15,1,8981.96
2016-01-15,2,80845.56
2016-01-15,3,29359.44
2016-01-15,4,10703.8
2016-01-15,5,2726.09
2016-01-16,1,7805.34
2016-01-16,2,78020.91
2016-01-16,3,22231.65
2016-01-16,4,5199.48
2016-01-16,5,2707.65
2016-01-17,1,5690.76
2016-01-17,2,63840.21
2016-01-17,3,43080.78
2016-01-17,4,3884.16
2016-01-17,5,2394.73
2016-01-18,1,9759.42
2016-01-18,2,43649.65
2016-01-18,3,38076.22
2016-01-18,4,9969.44
2016-01-18,5,1319.28
2016-01-19,1,8449.98
2016-01-19,2,72461.53
2016-01-19,3,43214.68
2016-01-19,4,9624.8
2016-01-19,5,2232.36
2016-01-20,1,9257.04
2016-01-20,2,73291.58
2016-01-20,3,42057.68
2016-01-20,4,9618.23
2016-01-20,5,2271.64
2016-01-21,1,9600.63
2016-01-21,2,66748.8
2016-01-21,3,44810.48
2016-01-21,4,9606.81
2016-01-21,5,2320.56
2016-01-22,1,9030.7
2016-01-22,2,75852.3
2016-01-22,3,26904.54
2016-01-22,4,10158.48
2016-01-22,5,2327.04
2016-01-23,1,6929.01
2016-01-23,2,71892.52
2016-01-23,3,22076.34
2016-01-23,4,4858.35
2016-01-23,5,2597.76
2016-01-24,1,5621.98
2016-01-24,2,50950.98
2016-01-24,3,39082.32
2016-01-24,4,3744.58
2016-01-24,5,1883.7
2016-01-25,1,8910.33
2016-01-25,2,42550.0
2016-01-25,3,40082.34
2016-01-25,4,9039.69
2016-01-25,5,1489.44
2016-01-26,1,8528.62
2016-01-26,2,72526.08
2016-01-26,3,42692.1
2016-01-26,4,8600.35
2016-01-26,5,1840.02
2016-01-27,1,8960.49
2016-01-27,2,65887.68
2016-01-27,3,46826.4
2016-01-27,4,8437.44
2016-01-27,5,2070.25
2016-01-28,1,8358.35
2016-01-28,2,72309.12
2016-01-28,3,41598.45
2016-01-28,4,8811.84
2016-01-28,5,2368.08
2016-01-29,1,9706.32
2016-01-29,2,71997.72
2016-01-29,3,26575.64
2016-01-29,4,9182.4
2016-01-29,5,2627.04
2016-01-30,1,8492.19
2016-01-30,2,67941.51
2016-01-30,3,25633.8
2016-01-30,4,4967.82
2016-01-30,5,2358.07
2016-01-31,1,6267.55
2016-01-31,2,62141.32
2016-01-31,3,43324.96
2016-01-31,4,3921.19
2016-01-31,5,2169.6
2016-02-01,1,8221.85
2016-02-01,2,49501.92
2016-02-01,3,46377.36
2016-02-01,4,8485.38
2016-02-01,5,1764.43
2016-02-02,1,9170.72
2016-02-02,2,68366.76
2016-02-02,3,42871.68
2016-02-02,4,8684.28
2016-02-02,5,2050.68
2016-02-03,1,9389.48
2016-02-03,2,71247.16
2016-02-03,3,49491.0
2016-02-03,4,9336.6
2016-02-03,5,2371.6
2016-02-04,1,8677.3
2016-02-04,2,73082.88
2016-02-04,3,51863.29
2016-02-04,4,9412.8
2016-02-04,5,2834.43
2016-02-05,1,9359.52
2016-02-05,2,73942.86
2016-02-05,3,31530.76
2016-02-05,4,8956.6
2016-02-05,5,2306.44
2016-02-06,1,6627.94
2016-02-06,2,74750.48
2016-02-06,3,23880.24
2016-02-06,4,4999.85
2016-02-06,5,2677.1
2016-02-07,1,4397.55
2016-02-07,2,59866.07
2016-02-07,3,21389.76
2016-02-07,4,3362.1
2016-02-07,5,2304.0
2016-02-08,1,5469.83
2016-02-08,2,40146.46
2016-02-08,3,23326.38
2016-02-08,4,3248.64
2016-02-08,5,1444.3
2016-02-09,1,5451.81
2016-02-09,2,38803.7
2016-02-09,3,48261.28
2016-02-09,4,4370.9
2016-02-09,5,1423.58
2016-02-10,1,10338.64
2016-02-10,2,48408.08
2016-02-10,3,50662.8
2016-02-10,4,8373.84
2016-02-10,5,1544.28
2016-02-11,1,9546.74
2016-02-11,2,76733.58
2016-02-11,3,48374.56
2016-02-11,4,10068.7
2016-02-11,5,2410.8
2016-02-12,1,9761.4
2016-02-12,2,74941.58
2016-02-12,3,30541.32
2016-02-12,4,8632.36
2016-02-12,5,2727.43
2016-02-13,1,7397.39
2016-02-13,2,74660.32
2016-02-13,3,28817.28
2016-02-13,4,4379.55
2016-02-13,5,2824.41
2016-02-14,1,7388.16
2016-02-14,2,61637.76
2016-02-14,3,42385.54
2016-02-14,4,4841.02
2016-02-14,5,2395.12
2016-02-15,1,9198.28
2016-02-15,2,59622.48
2016-02-15,3,43774.64
2016-02-15,4,9890.64
2016-02-15,5,2005.45
2016-02-16,1,8686.54
2016-02-16,2,69175.54
2016-02-16,3,46559.98
2016-02-16,4,9925.2
2016-02-16,5,2430.7
2016-02-17,1,8919.9
2016-02-17,2,65812.38
2016-02-17,3,43021.92
2016-02-17,4,8339.8
2016-02-17,5,2580.24
2016-02-18,1,8817.9
2016-02-18,2,72061.5
2016-02-18,3,43104.35
2016-02-18,4,9534.42
2016-02-18,5,2716.2
2016-02-19,1,9792.3
2016-02-19,2,70105.25
2016-02-19,3,33327.29
2016-02-19,4,8262.8
2016-02-19,5,3300.52
2016-02-20,1,7777.92
2016-02-20,2,69502.44
2016-02-20,3,28100.8
2016-02-20,4,5321.2
2016-02-20,5,2981.46
2016-02-21,1,5863.13
2016-02-21,2,60879.18
2016-02-21,3,42891.26
2016-02-21,4,3800.64
2016-02-21,5,4088.56
2016-02-22,1,9726.3
2016-02-22,2,46017.79
2016-02-22,3,47336.74
2016-02-22,4,9329.25
2016-02-22,5,2346.75
2016-02-23,1,9617.92
2016-02-23,2,76005.28
2016-02-23,3,41872.02
2016-02-23,4,8493.84
2016-02-23,5,2415.7
2016-02-24,1,9387.95
2016-02-24,2,78262.2
2016-02-24,3,48413.28
2016-02-24,4,9260.73
2016-02-24,5,2804.76
2016-02-25,1,9988.16
2016-02-25,2,75025.08
2016-02-25,3,46005.12
2016-02-25,4,10237.76
2016-02-25,5,3140.78
2016-02-26,1,10379.31
2016-02-26,2,79297.54
2016-02-26,3,33539.15
2016-02-26,4,9610.64
2016-02-26,5,3266.73
2016-02-27,1,7853.7
2016-02-27,2,83901.66
2016-02-27,3,28296.15
2016-02-27,4,5180.9400000000005
2016-02-27,5,3363.01
2016-02-28,1,6967.62
2016-02-28,2,60665.28
2016-02-28,3,43225.0
2016-02-28,4,3742.05
2016-02-28,5,3522.48
2016-02-29,1,8947.4
2016-02-29,2,55391.7
2016-02-29,3,46086.29
2016-02-29,4,9063.95
2016-02-29,5,2033.28
2016-03-01,1,9645.3
2016-03-01,2,74145.11
2016-03-01,3,49744.3
2016-03-01,4,8985.6
2016-03-01,5,2536.11
2016-03-02,1,9089.28
2016-03-02,2,76774.64
2016-03-02,3,48237.28
2016-03-02,4,9423.44
2016-03-02,5,2830.8
2016-03-03,1,10237.76
2016-03-03,2,69544.47
2016-03-03,3,51505.4
2016-03-03,4,8750.12
2016-03-03,5,3157.73
2016-03-04,1,10352.25
2016-03-04,2,81422.28
2016-03-04,3,33816.28
2016-03-04,4,10206.76
2016-03-04,5,3072.16
2016-03-05,1,8840.34
2016-03-05,2,72048.03
2016-03-05,3,25692.48
2016-03-05,4,4709.12
2016-03-05,5,3529.93
2016-03-06,1,6772.5
2016-03-06,2,58460.93
2016-03-06,3,48098.4
2016-03-06,4,3970.87
2016-03-06,5,3758.7
2016-03-07,1,10041.08
2016-03-07,2,48326.34
2016-03-07,3,49107.45
2016-03-07,4,9743.51
2016-03-07,5,2291.14
2016-03-08,1,8836.9
2016-03-08,2,64563.76
2016-03-08,3,52189.2
2016-03-08,4,8293.74
2016-03-08,5,2758.79
2016-03-09,1,8520.16
2016-03-09,2,69243.45
2016-03-09,3,48740.58
2016-03-09,4,9451.28
2016-03-09,5,2601.76
2016-03-10,1,9000.5
2016-03-10,2,66174.68
2016-03-10,3,54300.24
2016-03-10,4,9657.9
2016-03-10,5,2939.04
2016-03-11,1,9671.04
2016-03-11,2,77703.6
2016-03-11,3,34466.84
2016-03-11,4,8614.88
2016-03-11,5,3239.28
2016-03-12,1,8871.39
2016-03-12,2,76826.2
2016-03-12,3,25001.0
2016-03-12,4,4751.25
2016-03-12,5,3203.85
2016-03-13,1,7206.84
2016-03-13,2,61326.72
2016-03-13,3,48660.56
2016-03-13,4,3672.9
2016-03-13,5,3859.21
2016-03-14,1,9775.12
2016-03-14,2,51060.94
2016-03-14,3,50235.12
2016-03-14,4,8558.34
2016-03-14,5,2482.48
2016-03-15,1,8969.85
2016-03-15,2,67318.16
2016-03-15,3,43112.12
2016-03-15,4,8986.6
2016-03-15,5,2643.84
2016-03-16,1,8848.56
2016-03-16,2,71858.3
2016-03-16,3,51033.28
2016-03-16,4,8580.39
2016-03-16,5,2626.75
2016-03-17,1,10243.82
2016-03-17,2,71136.63
2016-03-17,3,53283.02
2016-03-17,4,9390.57
2016-03-17,5,3109.57
2016-03-18,1,10269.28
2016-03-18,2,79281.28
2016-03-18,3,37446.62
2016-03-18,4,10543.57
2016-03-18,5,3041.92
2016-03-19,1,9109.36
2016-03-19,2,77678.72
2016-03-19,3,28124.18
2016-03-19,4,4428.06
2016-03-19,5,3489.52
2016-03-20,1,6321.49
2016-03-20,2,69882.08
2016-03-20,3,49181.04
2016-03-20,4,3688.88
2016-03-20,5,3867.76
2016-03-21,1,9241.5
2016-03-21,2,52217.72
2016-03-21,3,49725.0
2016-03-21,4,8635.2
2016-03-21,5,2267.72
2016-03-22,1,9627.75
2016-03-22,2,68167.25
2016-03-22,3,49078.44
2016-03-22,4,8550.36
2016-03-22,5,1646.3
2016-03-23,1,10344.96
2016-03-23,2,78353.34
2016-03-23,3,22022.36
2016-03-23,4,10531.75
2016-03-23,5,2900.77
2016-03-24,1,6091.2
2016-03-24,2,75440.82
2016-03-24,3,21673.92
2016-03-24,4,4843.8
2016-03-24,5,3194.1
2016-03-25,1,4907.22
2016-03-25,2,54189.54
2016-03-25,3,21593.39
2016-03-25,4,2806.96
2016-03-25,5,2019.78
2016-03-26,1,7194.33
2016-03-26,2,35842.2
2016-03-26,3,26678.08
2016-03-26,4,3714.9
2016-03-26,5,1435.45
2016-03-27,1,6656.2
2016-03-27,2,47395.5
2016-03-27,3,50699.8
2016-03-27,4,3897.59
2016-03-27,5,1648.32
2016-03-28,1,9220.12
2016-03-28,2,48827.79
2016-03-28,3,45631.35
2016-03-28,4,9055.4
2016-03-28,5,1731.14
2016-03-29,1,10109.22
2016-03-29,2,80873.76
2016-03-29,3,45212.16
2016-03-29,4,10148.99
2016-03-29,5,2433.73
2016-03-30,1,9441.01
2016-03-30,2,67356.88
2016-03-30,3,53289.36
2016-03-30,4,9035.55
2016-03-30,5,2579.85
2016-03-31,1,9676.52
2016-03-31,2,70650.55
2016-03-31,3,44829.72
2016-03-31,4,9444.6
2016-03-31,5,3412.79
2016-04-01,1,9838.22
2016-04-01,2,78524.11
2016-04-01,3,30585.36
2016-04-01,4,9935.38
2016-04-01,5,3216.36
2016-04-02,1,7479.36
2016-04-02,2,77076.02
2016-04-02,3,27685.18
2016-04-02,4,3472.56
2016-04-02,5,2708.9
2016-04-03,1,5822.68
2016-04-03,2,49509.46
2016-04-03,3,46175.93
2016-04-03,4,3481.8
2016-04-03,5,2991.45
2016-04-04,1,9339.66
2016-04-04,2,45855.55
2016-04-04,3,42770.7
2016-04-04,4,8994.99
2016-04-04,5,3428.05
2016-04-05,1,9519.25
2016-04-05,2,70468.74
2016-04-05,3,48501.67
2016-04-05,4,10017.1
2016-04-05,5,2433.81
2016-04-06,1,10310.31
2016-04-06,2,69559.68
2016-04-06,3,52314.15
2016-04-06,4,9923.36
2016-04-06,5,2802.5
2016-04-07,1,9214.44
2016-04-07,2,72399.83
2016-04-07,3,46425.96
2016-04-07,4,9438.72
2016-04-07,5,3143.4
2016-04-08,1,10740.84
2016-04-08,2,83378.88
2016-04-08,3,33113.34
2016-04-08,4,9354.8
2016-04-08,5,3244.25
2016-04-09,1,8332.8
2016-04-09,2,89082.0
2016-04-09,3,25445.7
2016-04-09,4,4061.76
2016-04-09,5,3506.88
2016-04-10,1,6707.83
2016-04-10,2,63715.05
2016-04-10,3,45819.18
2016-04-10,4,3000.27
2016-04-10,5,3888.38
2016-04-11,1,9318.46
2016-04-11,2,43468.2
2016-04-11,3,51228.72
2016-04-11,4,9136.4
2016-04-11,5,2049.18
2016-04-12,1,9578.25
2016-04-12,2,77007.24
2016-04-12,3,47331.9
2016-04-12,4,8585.78
2016-04-12,5,2970.32
2016-04-13,1,9002.28
2016-04-13,2,74036.16
2016-04-13,3,48104.64
2016-04-13,4,5603.72
2016-04-13,5,3372.84
2016-04-14,1,8791.29
2016-04-14,2,67527.46
2016-04-14,3,49137.61
2016-04-14,4,10079.4
2016-04-14,5,2875.95
2016-04-15,1,9433.4
2016-04-15,2,69679.65
2016-04-15,3,29543.04
2016-04-15,4,9277.21
2016-04-15,5,3410.4
2016-04-16,1,7814.48
2016-04-16,2,72473.94
2016-04-16,3,22881.55
2016-04-16,4,4903.5
2016-04-16,5,3458.16
2016-04-17,1,6163.9
2016-04-17,2,63765.0
2016-04-17,3,42537.12
2016-04-17,4,3011.54
2016-04-17,5,3264.56
2016-04-18,1,9000.11
2016-04-18,2,47851.65
2016-04-18,3,48878.67
2016-04-18,4,8258.35
2016-04-18,5,1748.32
2016-04-19,1,8621.91
2016-04-19,2,66638.04
2016-04-19,3,52601.22
2016-04-19,4,9232.6
2016-04-19,5,2393.94
2016-04-20,1,9972.46
2016-04-20,2,65568.0
2016-04-20,3,53118.01
2016-04-20,4,8905.6
2016-04-20,5,3138.11
2016-04-21,1,9967.36
2016-04-21,2,76226.48
2016-04-21,3,51597.54
2016-04-21,4,9776.7
2016-04-21,5,3352.32
2016-04-22,1,10211.22
2016-04-22,2,74974.21
2016-04-22,3,32411.6
2016-04-22,4,9747.54
2016-04-22,5,3679.43
2016-04-23,1,8527.96
2016-04-23,2,85601.25
2016-04-23,3,24381.72
2016-04-23,4,3779.23
2016-04-23,5,3193.62
2016-04-24,1,6347.68
2016-04-24,2,58973.72
2016-04-24,3,49271.27
2016-04-24,4,3454.2
2016-04-24,5,3789.94
2016-04-25,1,7462.0
2016-04-25,2,48626.2
2016-04-25,3,46830.28
2016-04-25,4,7680.4
2016-04-25,5,1908.2
2016-04-26,1,8624.08
2016-04-26,2,72198.0
2016-04-26,3,47670.65
2016-04-26,4,8407.2
2016-04-26,5,2529.85
2016-04-27,1,9285.12
2016-04-27,2,69008.79
2016-04-27,3,51416.71
2016-04-27,4,8928.81
2016-04-27,5,3103.68
2016-04-28,1,9597.85
2016-04-28,2,83287.99
2016-04-28,3,36258.65
2016-04-28,4,8942.57
2016-04-28,5,3333.22
2016-04-29,1,10461.4
2016-04-29,2,79788.95
2016-04-29,3,33598.6
2016-04-29,4,7778.24
2016-04-29,5,3296.6
2016-04-30,1,8737.15
2016-04-30,2,70708.8
2016-04-30,3,23465.27
