n_sku,ds,y
1,2016-01-01,5282.62
2,2016-01-01,66897.438
3,2016-01-01,21529.84
4,2016-01-01,8191.7339999999995
5,2016-01-01,885.96
1,2016-01-02,6580.65
2,2016-01-02,65774.676
3,2016-01-02,23332.4
4,2016-01-02,3748.14
5,2016-01-02,943.74
1,2016-01-03,6431.1
2,2016-01-03,46908.44
3,2016-01-03,40319.73
4,2016-01-03,3638.18
5,2016-01-03,1339.2
1,2016-01-04,9146.55
2,2016-01-04,45497.47
3,2016-01-04,41952.93
4,2016-01-04,8655.45
5,2016-01-04,1058.88
1,2016-01-05,9636.46
2,2016-01-05,68852.2
3,2016-01-05,44921.81
4,2016-01-05,9177.3
5,2016-01-05,1722.36
1,2016-01-06,8922.87
2,2016-01-06,70491.18
3,2016-01-06,45027.84
4,2016-01-06,8519.73
5,2016-01-06,2272.4
1,2016-01-07,9100.08
2,2016-01-07,73889.92
3,2016-01-07,45446.1
4,2016-01-07,9483.21
5,2016-01-07,2526.62
1,2016-01-08,9025.0
2,2016-01-08,68612.48
3,2016-01-08,28658.7
4,2016-01-08,8702.33
5,2016-01-08,2527.34
1,2016-01-09,6930.36
2,2016-01-09,73839.31
3,2016-01-09,22456.47
4,2016-01-09,4667.74
5,2016-01-09,2604.45
1,2016-01-10,6340.32
2,2016-01-10,58407.18
3,2016-01-10,44745.26
4,2016-01-10,4201.89
5,2016-01-10,2109.89
1,2016-01-11,9461.58
2,2016-01-11,45518.22
3,2016-01-11,40459.2
4,2016-01-11,9175.74
5,2016-01-11,1288.26
1,2016-01-12,9342.32
2,2016-01-12,72640.75
3,2016-01-12,42804.44
4,2016-01-12,9776.38
5,2016-01-12,2047.32
1,2016-01-13,8851.25
2,2016-01-13,76494.24
3,2016-01-13,46859.28
4,2016-01-13,8854.08
5,2016-01-13,2233.91
1,2016-01-14,10100.8
2,2016-01-14,71212.68
3,2016-01-14,44957.5
4,2016-01-14,8832.24
5,2016-01-14,2408.67
1,2016-01-15,8981.96
2,2016-01-15,80845.56
3,2016-01-15,29359.44
4,2016-01-15,10703.8
5,2016-01-15,2726.09
1,2016-01-16,7805.34
2,2016-01-16,78020.91
3,2016-01-16,22231.65
4,2016-01-16,5199.48
5,2016-01-16,2707.65
1,2016-01-17,5690.76
2,2016-01-17,63840.21
3,2016-01-17,43080.78
4,2016-01-17,3884.16
5,2016-01-17,2394.73
1,2016-01-18,9759.42
2,2016-01-18,43649.65
3,2016-01-18,38076.22
4,2016-01-18,9969.44
5,2016-01-18,1319.28
1,2016-01-19,8449.98
2,2016-01-19,72461.53
3,2016-01-19,43214.68
4,2016-01-19,9624.8
5,2016-01-19,2232.36
1,2016-01-20,9257.04
2,2016-01-20,73291.58
3,2016-01-20,42057.68
4,2016-01-20,9618.23
5,2016-01-20,2271.64
1,2016-01-21,9600.63
2,2016-01-21,66748.8
3,2016-01-21,44810.48
4,2016-01-21,9606.81
5,2016-01-21,2320.56
1,2016-01-22,9030.7
2,2016-01-22,75852.3
3,2016-01-22,26904.54
4,2016-01-22,10158.48
5,2016-01-22,2327.04
1,2016-01-23,6929.01
2,2016-01-23,71892.52
3,2016-01-23,22076.34
4,2016-01-23,4858.35
5,2016-01-23,2597.76
1,2016-01-24,5621.98
2,2016-01-24,50950.98
3,2016-01-24,39082.32
4,2016-01-24,3744.58
5,2016-01-24,1883.7
1,2016-01-25,8910.33
2,2016-01-25,42550.0
3,2016-01-25,40082.34
4,2016-01-25,9039.69
5,2016-01-25,1489.44
1,2016-01-26,8528.62
2,2016-01-26,72526.08
3,2016-01-26,42692.1
4,2016-01-26,8600.35
5,2016-01-26,1840.02
1,2016-01-27,8960.49
2,2016-01-27,65887.68
3,2016-01-27,46826.4
4,2016-01-27,8437.44
5,2016-01-27,2070.25
1,2016-01-28,8358.35
2,2016-01-28,72309.12
3,2016-01-28,41598.45
4,2016-01-28,8811.84
5,2016-01-28,2368.08
1,2016-01-29,9706.32
2,2016-01-29,71997.72
3,2016-01-29,26575.64
4,2016-01-29,9182.4
5,2016-01-29,2627.04
1,2016-01-30,8492.19
2,2016-01-30,67941.51
3,2016-01-30,25633.8
4,2016-01-30,4967.82
5,2016-01-30,2358.07
1,2016-01-31,6267.55
2,2016-01-31,62141.32
3,2016-01-31,43324.96
4,2016-01-31,3921.19
5,2016-01-31,2169.6
1,2016-02-01,8221.85
2,2016-02-01,49501.92
3,2016-02-01,46377.36
4,2016-02-01,8485.38
5,2016-02-01,1764.43
1,2016-02-02,9170.72
2,2016-02-02,68366.76
3,2016-02-02,42871.68
4,2016-02-02,8684.28
5,2016-02-02,2050.68
1,2016-02-03,9389.48
2,2016-02-03,71247.16
3,2016-02-03,49491.0
4,2016-02-03,9336.6
5,2016-02-03,2371.6
1,2016-02-04,8677.3
2,2016-02-04,73082.88
3,2016-02-04,51863.29
4,2016-02-04,9412.8
5,2016-02-04,2834.43
1,2016-02-05,9359.52
2,2016-02-05,73942.86
3,2016-02-05,31530.76
4,2016-02-05,8956.6
5,2016-02-05,2306.44
1,2016-02-06,6627.94
2,2016-02-06,74750.48
3,2016-02-06,23880.24
4,2016-02-06,4999.85
5,2016-02-06,2677.1
1,2016-02-07,4397.55
2,2016-02-07,59866.07
3,2016-02-07,21389.76
4,2016-02-07,3362.1
5,2016-02-07,2304.0
1,2016-02-08,5469.83
2,2016-02-08,40146.46
3,2016-02-08,23326.38
4,2016-02-08,8003.572
5,2016-02-08,1444.3
1,2016-02-09,5451.81
2,2016-02-09,38803.7
3,2016-02-09,48261.28
4,2016-02-09,4370.9
5,2016-02-09,1423.58
1,2016-02-10,10338.64
2,2016-02-10,48408.08
3,2016-02-10,50662.8
4,2016-02-10,8373.84
5,2016-02-10,1544.28
1,2016-02-11,9546.74
2,2016-02-11,76733.58
3,2016-02-11,48374.56
4,2016-02-11,10068.7
5,2016-02-11,2410.8
1,2016-02-12,9761.4
2,2016-02-12,74941.58
3,2016-02-12,30541.32
4,2016-02-12,8632.36
5,2016-02-12,2727.43
1,2016-02-13,7397.39
2,2016-02-13,74660.32
3,2016-02-13,28817.28
4,2016-02-13,4379.55
5,2016-02-13,2824.41
1,2016-02-14,7388.16
2,2016-02-14,61637.76
3,2016-02-14,42385.54
4,2016-02-14,4841.02
5,2016-02-14,2395.12
1,2016-02-15,9198.28
2,2016-02-15,59622.48
3,2016-02-15,43774.64
4,2016-02-15,9890.64
5,2016-02-15,2005.45
1,2016-02-16,8686.54
2,2016-02-16,69175.54
3,2016-02-16,46559.98
4,2016-02-16,9925.2
5,2016-02-16,2430.7
1,2016-02-17,8919.9
2,2016-02-17,65812.38
3,2016-02-17,43021.92
4,2016-02-17,8339.8
5,2016-02-17,2580.24
1,2016-02-18,8817.9
2,2016-02-18,72061.5
3,2016-02-18,43104.35
4,2016-02-18,9534.42
5,2016-02-18,2716.2
1,2016-02-19,9792.3
2,2016-02-19,70105.25
3,2016-02-19,33327.29
4,2016-02-19,8262.8
5,2016-02-19,3300.52
1,2016-02-20,7777.92
2,2016-02-20,69502.44
3,2016-02-20,28100.8
4,2016-02-20,5321.2
5,2016-02-20,2981.46
1,2016-02-21,5863.13
2,2016-02-21,60879.18
3,2016-02-21,42891.26
4,2016-02-21,3800.64
5,2016-02-21,4088.56
1,2016-02-22,9726.3
2,2016-02-22,46017.79
